Biarritz,BIZ
Bibliothèque François Mitterrand,BFM
Bidarray Pont Noblia,PBJ
Bidos,EON
Biganos Facture,FAT
Bigny,BIG
Billy-Montigny,BYM
Biot,BJO
Bischheim,BHM
Bischoffsheim,BFH
Bischwiller,BHW
Bitschwiller-lès-Thann,BWP
Bièvres,BSI
Blainville - Damelevières,BLV
Blaisy-Bas,BSB
Blangy-sur-Bresle,BBM
Blangy-sur-Ternoise,BIP
Blanquefort,BQF
Blanzy,BYK
Blois - Chambord,BLO
Blonville-sur-Mer - Benerville,BWB
Bléré - La Croix,BCX
Bogny-sur-Meuse,BYU
Bohain-en-Vermandois,BHI
Boigneville,BWI
Bois-Colombes,BCO
Bois-d'Oingt - Légny,BDO
Bois-le-Roi,BJR
Boisleux-au-Mont,BLX
Boisseaux,BAX
Boisset,BCL
Boissise-le-Roi,BKR
Boissy-l'Aillerie,BLA
Bolbec - Nointot,BNT
Bollwiller,BOW
Bollène La Croisière,BLN
Bologne,BOG
Bolquère - Eyne,BQE
Bondy,BDY
Bonnemain,BMV
Bonneval,BOJ
Bonneville,BON
Bonnières-sur-Seine,BNR
Bons-en-Chablais,BAB
Bonson,BSN
Boran-sur-Oise,BRN
Bordeaux Saint-Jean,BXJ
Bords,BOR
Bornel - Belle-Église,BBI
Bouaye,BLQ
Boucau,BUU
Bouchain,BAK
Boucoiran-et-Nozières,BKW
Bouffémont - Moisselles,BOF
Bougival,BGV
Boulainvilliers,BWR
Boulogne Tintelleries,BKI
Boulogne-sur-Mer,BEM
Boulouris sur Mer,BOU
Bouray,BSO
Bourbourg,BBU
Bourg-Bruche,BFZ
Bourg-Madame,BMD
Bourg-Saint-Maurice,BSM
Bourg-en-Bresse,BGB
Bourges,BGS
Bourgneuf-en-Retz,BGZ
Bourgoin-Jallieu,BRG
Bourgtheroulde - Thuit-Hébert,BGT
Bournezeau,BNZ
Bourron-Marlotte - Grez,BOM
Boussay - La Bruffière,BBF
Boussens,BQY
Boussy-Saint-Antoine,BXI
Bouthéon,BOH
Boutigny-sur-Essonne,BJN
Boves,BOV
Boën-sur-Lignon,BOE
Bram,BRA
Brandérion,BPZ
Brassac-les-Mines - Sainte-Florine,BLM
Brax - Léguevin,BXL
Brazey-en-Plaine,BEP
Brebières,BSU
Breil-sur-Roya,BRE
Breitenbach-Haut-Rhin,BHH
Bressuire,BRS
Brest,BRT
Breteil,BTU
Bretenoux - Biars,BXB
Breteuil,BEB
Bretigny - Norges,BTQ
Bretoncelles,BTO
Bretteville - Norrey,BVO
Breuil - Romain,BPR
Breuillet - Bruyères-le-Châtel,BIH
Breuillet Village,BRW
